单词,音标,词性,中文释义,单元,例句1,例句2,例句3
"nervous","/ˈnɜːrvəs/","adj.（形容词）","神经紧张的，焦虑不安的","01. Starter",""
"start","/stɑːrt/","v.（动词）","开始","01. Starter","1. Let's start our lesson.（让我们开始上课。）|2. The movie will start at 7:00 PM.（电影将在晚上7点开始。）|3. When do you start your homework?（你什么时候开始做作业？）"
"dining hall","","","","01. Starter",""
"yourself","/jɔːrˈself/","pron.（代词）","你自己","01. Starter",""
"join","/dʒɔɪn/","v.（动词）","成为……的一员，加入","01. Starter","1. I want to join the school basketball team.（我想加入学校篮球队。）|2. She decided to join our English club.（她决定加入我们的英语俱乐部。）|3. Will you join us for dinner tonight?（今晚你要和我们一起吃晚饭吗？）"
"team","/tiːm/","n.（名词）","(游戏或体育比赛的)队","01. Starter",""
"forget","","","","01. Starter",""
"grey","/greɪ/ （注：修正为标准发音）","adjective (adj.)","灰色的；暗淡的；年老的","01. Starter",""
"T-shirt","/ˈtiːˌʃɜːrt/","noun (n.)","T恤衫，短袖运动衫","01. Starter","1. I like to wear a comfortable T-shirt in summer.（夏天我喜欢穿舒适的T恤衫。）|2. He has a T-shirt with his favorite cartoon character on it.（他有一件上面印着他最喜欢的卡通人物的T恤衫。）|3. She bought a new T-shirt yesterday.（她昨天买了一件新的T恤衫。）"
"each other","/iːtʃ ˈʌðə(r)/","代词短语","互相，彼此","01. Starter","1. We help each other with homework.（我们互相帮助做作业。）|2. They love each other very much.（他们非常爱彼此。）|3. The two friends often write emails to each other.（这两个朋友经常互相写电子邮件。）"
"junior high","","","初级中学","01. Starter",""
"a bit","/ə bɪt/","短语","有点儿，稍微","01. Starter",""
"lab","/læb/","n.（名词）","实验室","01. Starter","1. We do experiments in the lab.（我们在实验室做实验。）|2. The students are working in the science lab.（学生们正在科学实验室里工作。）|3. The lab has many advanced instruments.（实验室里有许多先进的仪器。）"
"uniform","/ˈjuːnɪfɔːrm/","noun (n.)","制服；校服；统一的服装","01. Starter","1. Students must wear school uniforms at school.（学生在学校必须穿校服。）|2. The police officer is in his blue uniform.（警察穿着蓝色制服。）|3. All the team members wear the same uniform.（所有团队成员都穿相同的制服。）"
"explore","/ɪkˈsplɔːr/","v.（动词）","探索；探讨，探究","01. Starter",""
"biology","/baɪ'ɒlədʒi/","n. (名词)","生物","01. Starter",""
"of course","/əv kɔːrs/","短语副词","当然，自然，毫无疑问","01. Starter","1. Of course, I'll help you with your homework.（当然，我会帮你做作业。）|2. "Can you come to the party?" "Of course!"（"你能来参加聚会吗？" "当然可以！"）|3. Of course, there are exceptions to every rule.（当然，每个规则都有例外。）"
"red scarf","/red skɑːf/（复数形式：red scarves 或 red scarfs）","名词短语","","01. Starter","1. The little boy wears a red scarf around his neck.（小男孩脖子上系着一条红领巾。）|2. All the Young Pioneers must wear red scarves to school.（所有少先队员上学必须佩戴红领巾。）|3. She is proud to wear the red scarf as a symbol of her membership in the Young Pioneers.（她为能佩戴红领巾作为少先队员的象征而感到自豪。）"
"jacket","/ˈdʒækɪt/ （注：修正为标准发音）","noun (n.)","夹克，短上衣","01. Starter",""
"eraser","/'rerza/","n. (名词)","橡皮","01. Starter",""
"fun","/fʌn/","n.（名词）","乐趣","01. Starter",""
"introduce","/ˌɪntrəˈdjuːs/","v.（动词）","介绍","01. Starter",""
"school uniform","","","","01. Starter",""
"textbook","/tekstbuk/","名词 (noun)","教科书，教材，课本","01. Starter","1. This is our English textbook.
>    这是我们的英语教科书。|2. Please open your textbooks to page 20.
>    请把课本翻到第20页。|3. The new textbook is very interesting.
>    新教材很有趣。"
"take part in","/teɪk pɑːrt ɪn/","短语","参加，参与","01. Starter",""
"everyone","/'evriwʌn/","pron.（代词）","每个人，人人","01. Starter",""
"hobby","/ˈhɒbi/","n.（名词）","业余爱好，嗜好","01. Starter",""
"together","/təˈɡeðər/","adv.（副词）","一起，共同，一齐，一块儿","01. Starter","1. We go to school together every day.（我们每天一起去上学。）|2. Let's work together to solve this problem.（让我们一起解决这个问题。）|3. The family always eats dinner together.（这家人总是一起吃晚餐。）"
"ready","/ˈredi/","形容词 (adjective)","准备好(做某事)的","01. Starter","1. I'm ready to go to school.
>    我准备好去上学了。|2. Are you ready for the test?
>    你准备好考试了吗？|3. The dinner is ready.
>    晚餐准备好了。"
"history","/'hɪstri/","n. (名词)","历史","01. Starter",""
"geography","/d3i'vgrof/","n. (名词)","地理","01. Starter",""
"teaching building","","","","01. Starter",""
"problem","/ˈprɒbləm/","n.（名词）","问题，难题；困难","02. Unit 1","1. I have a problem with my computer.（我的电脑有问题。）|2. Can you help me solve this problem?（你能帮我解决这个问题吗？）|3. What's the problem?（有什么问题？）"
"advice","/ədˈvaɪs/","n.（名词）","意见，建议；忠告，劝告","02. Unit 1","1. Can you give me some advice?（你能给我一些建议吗？）|2. That's good advice.（那是个好建议。）|3. I need your advice on this matter.（我需要你在这件事上的建议。）"
"homework","/ˈhəʊmwɜːk/","n.（名词）","家庭作业，功课","02. Unit 1","1. I need to do my homework.（我需要做我的家庭作业。）|2. Have you finished your homework?（你完成家庭作业了吗？）|3. The teacher gave us a lot of homework.（老师给我们布置了很多家庭作业。）"
"really","/ˈrɪəli/","adv.（副词）","确实地，的确","02. Unit 1","1. I really like this book.（我真的很喜欢这本书。）|2. Is it really true?（这真的是真的吗？）|3. She really works hard.（她确实工作很努力。）"
"mind","/maɪnd/","n.（名词）","头脑；思想，思维","02. Unit 1","1. I can't get it out of my mind.（我无法把它从我的脑海中抹去。）|2. She has a sharp mind.（她头脑很敏锐。）|3. What's on your mind?（你在想什么？）"
"storm","/stɔːm/","n.（名词）","暴风雨（雪）","02. Unit 1","1. There was a terrible storm last night.（昨晚有一场可怕的暴风雨。）|2. The storm damaged many houses.（暴风雨损坏了许多房屋。）|3. We stayed inside during the storm.（暴风雨期间我们待在室内。）"
"towards","/təˈwɔːdz/","prep.（介词）","向着，朝着（某个方向）","02. Unit 1","1. She walked towards the door.（她朝门口走去。）|2. The car is moving towards the city.（汽车正朝城市方向行驶。）|3. He looked towards the sky.（他朝天空看去。）"
"pool","/puːl/","n.（名词）","水塘，水洼","02. Unit 1","1. There is a swimming pool in our school.（我们学校有一个游泳池。）|2. The children played near the pool.（孩子们在水塘附近玩耍。）|3. A pool of water formed on the ground.（地上形成了一个水洼。）"
"wind","/wɪnd/","n.（名词）","风","02. Unit 1","1. The wind is blowing strongly today.（今天风很大。）|2. I can feel the wind on my face.（我能感受到脸上的风。）|3. The wind blew the leaves away.（风把叶子吹走了。）"
"need","/niːd/","v.（动词）","需要","02. Unit 1","1. I need some help.（我需要一些帮助。）|2. Do you need a pen?（你需要一支笔吗？）|3. We need to study hard.（我们需要努力学习。）"
"mistake","/mɪˈsteɪk/","n.（名词）","错误","02. Unit 1","1. I made a mistake in my homework.（我在作业中犯了一个错误。）|2. Don't worry about the mistake.（不要担心这个错误。）|3. It's a common mistake.（这是一个常见的错误。）"
"sail","/seɪl/","v.（动词）","驾驶（船只）","02. Unit 1","1. We will sail across the ocean.（我们将横渡大洋。）|2. The ship sails to different countries.（这艘船航行到不同的国家。）|3. He learned to sail when he was young.（他年轻时学会了驾驶帆船。）"
"sentence","/ˈsentəns/","n.（名词）","句子","02. Unit 1","1. This is a simple sentence.（这是一个简单的句子。）|2. Can you write a sentence in English?（你能用英语写一个句子吗？）|3. The teacher asked us to make a sentence.（老师要求我们造句。）"
"primary school","/ˈpraɪməri skuːl/","名词短语","小学","02. Unit 1","1. I went to primary school when I was six.（我六岁时上小学。）|2. Primary school is very important for children.（小学对孩子们很重要。）|3. She teaches at a primary school.（她在一所小学教书。）"
"protect","/prəˈtekt/","v.（动词）","保护；防护","02. Unit 1","1. We must protect our environment.（我们必须保护我们的环境。）|2. The police protect people from danger.（警察保护人们免受危险。）|3. Parents protect their children.（父母保护他们的孩子。）"
"life","/laɪf/","n.（名词）","生活","02. Unit 1","1. Life is beautiful.（生活是美好的。）|2. I enjoy my school life.（我喜欢我的学校生活。）|3. What's your life like?（你的生活是什么样的？）"
"task","/tɑːsk/","n.（名词）","工作，任务","02. Unit 1","1. This is a difficult task.（这是一个困难的任务。）|2. I have many tasks to complete today.（我今天有很多任务要完成。）|3. The teacher gave us a new task.（老师给了我们一个新任务。）"
"important","/ɪmˈpɔːtənt/","adj.（形容词）","重要的，重大的","02. Unit 1","1. This is an important meeting.（这是一个重要的会议。）|2. It's important to study hard.（努力学习很重要。）|3. She is an important person.（她是一个重要的人。）"
"thought","/θɔːt/","n.（名词）","意见，主意，观点","02. Unit 1","1. What's your thought on this matter?（你对这件事有什么看法？）|2. I had a sudden thought.（我突然有了一个想法。）|3. She shared her thoughts with us.（她与我们分享了她的想法。）"
"journey","/ˈdʒɜːni/","n.（名词）","旅行，旅程；历程，过程","02. Unit 1","1. We had a wonderful journey.（我们度过了一次美妙的旅行。）|2. The journey took three hours.（这次旅行花了三个小时。）|3. Life is a long journey.（人生是一次漫长的旅程。）"
"without","/wɪðˈaʊt/","prep.（介词）","缺乏，没有","02. Unit 1","1. I can't go without my umbrella.（没有雨伞我不能去。）|2. She left without saying goodbye.（她没有说再见就离开了。）|3. We can't live without water.（没有水我们无法生存。）"
"project","/ˈprɒdʒekt/","n.（名词）","（学校的）课题，研究项目","02. Unit 1","1. We are working on a science project.（我们正在做一个科学项目。）|2. This is my final project.（这是我的最终项目。）|3. The project is due next week.（这个项目下周截止。）"
"something","/ˈsʌmθɪŋ/","pron.（代词）","某物，某事；某些东西","02. Unit 1","1. I want to tell you something.（我想告诉你一些事情。）|2. There's something wrong with my computer.（我的电脑出了什么问题。）|3. Can I get you something to drink?（我能给你拿点喝的吗？）"
"plan","/plæn/","v.（动词）","计划","02. Unit 1","1. I plan to go shopping tomorrow.（我计划明天去购物。）|2. We are planning a party.（我们正在计划一个聚会。）|3. She plans to study abroad.（她计划出国留学。）"
"point out","/pɔɪnt aʊt/","动词短语","指出，指明","02. Unit 1","1. The teacher pointed out my mistake.（老师指出了我的错误。）|2. Can you point out the correct answer?（你能指出正确答案吗？）|3. I want to point out something important.（我想指出一些重要的事情。）"
"polite","/pəˈlaɪt/","adj.（形容词）","有礼貌的，客气的","02. Unit 1","1. She is a very polite girl.（她是一个很有礼貌的女孩。）|2. It's polite to say "thank you".（说"谢谢"是有礼貌的。）|3. The boy was polite to his teacher.（这个男孩对老师很有礼貌。）"
"meaning","/ˈmiːnɪŋ/","n.（名词）","意义，意思，含义","02. Unit 1","1. What's the meaning of this word?（这个单词的意思是什么？）|2. I don't understand the meaning.（我不理解这个意思。）|3. The meaning of life is important.（生命的意义很重要。）"
"hers","/hɜːz/","pron.（代词）","她的","02. Unit 1","1. This book is hers.（这本书是她的。）|2. Is this pen hers?（这支钢笔是她的吗？）|3. The red car is hers.（那辆红色的车是她的。）"
"hope","/həʊp/","v.（动词）","希望，期望，指望","02. Unit 1","1. I hope you can come to my party.（我希望你能来参加我的聚会。）|2. We hope for good weather tomorrow.（我们希望明天天气好。）|3. She hopes to become a doctor.（她希望成为一名医生。）"
"dry","/draɪ/","adj.（形容词）","干的，干燥的","02. Unit 1","1. The clothes are dry now.（衣服现在干了。）|2. This towel is dry.（这条毛巾是干的。）|3. The weather is very dry today.（今天天气很干燥。）"
"remember","/rɪˈmembə/","v.（动词）","记住，记得","02. Unit 1","1. I remember your name.（我记得你的名字。）|2. Do you remember me?（你记得我吗？）|3. Please remember to bring your book.（请记住带你的书。）"
"fact","/fækt/","n.（名词）","事实；真相","02. Unit 1","1. That's a true fact.（那是一个真实的事实。）|2. I know the fact.（我知道这个事实。）|3. The fact is that he is right.（事实是他是对的。）"
